dataset_name,short_name,split_used,row_count_total,row_count_sample_saved,columns,raw_sample_path,detected_text_column,detected_category_column,detected_priority_column,detected_response_column,status,error
Tobi-Bueck/customer-support-tickets,customer_support_tickets_tobi,train,61765,3000,"subject, body, answer, type, queue, priority, language, version, tag_1, tag_2, tag_3, tag_4, tag_5, tag_6, tag_7, tag_8",data/raw/huggingface/customer_support_tickets_tobi_sample.csv,body,type,priority,answer,success,
gorkemsevinc/customer_support_tickets,customer_support_tickets_gorkem,train,8469,3000,"Customer Email, Product Purchased, Ticket Type, Ticket Subject, Combined Text, Ticket Priority",data/raw/huggingface/customer_support_tickets_gorkem_sample.csv,,Ticket Type,Ticket Priority,,success,
