metric_group,metric_name,score_percent,calculation,meaning,operation_action
guide_ratio_kpi,자동화 적합도,41.61,FAQ/단순 안내 + 업무 처리 요청 + 기타(LOW_PRIORITY proxy),음성봇/챗봇으로 처리 가능한 반복·단순·업무 처리 문의 비중,FAQ와 반복 업무를 Global/Main Scenario로 우선 자동화
guide_ratio_kpi,Main 시나리오 필요도,58.13,업무 처리 요청 + 결제/청구,예약·변경·취소·계약·정산 등 업무 처리 흐름이 필요한 문의 비중,"업무 처리 프로세스, 변수 수집, API 연동 포인트 정의"
guide_ratio_kpi,Global 시나리오 필요도,11.64,FAQ/단순 안내 + 상담원 연결,FAQ·상담원 연결·통화 종료 등 공통 요청 비중,공통 FAQ와 상담원 연결 정책 표준화
guide_ratio_kpi,Repair 시나리오 필요도,26.38,장애/오류 + 불만/클레임 + 계정/인증(REPAIR_RISK proxy),오류·불만·인증 실패처럼 정상 흐름 이탈 복구가 필요한 문의 비중,"무응답, 의도 불명확, 인증 실패, 오류 상황의 재질문·복구 정책 설계"
guide_ratio_kpi,Auto QA 필요도,8.07,불만/클레임 + 장애/오류,불만·장애·오류 등 상담 품질 확인이 필요한 문의 비중,"상담 품질 평가, 키워드 모니터링, 클레임 리뷰 체계 설계"
guide_ratio_kpi,상담원 연결 필요도,15.08,상담원 연결 + 불만/클레임 + 장애/오류,AI 단독 응대보다 상담사 전환이 필요한 문의 비중,Human Handoff 기준과 상담사 지원 기능 정의
